"Transaction Type","Date","Amount Debited","Debit Currency","Amount Credited","Credit Currency","Buy / Sell Rate","Direction","Spot Rate","Source / Destination","Blockchain Transaction ID"
"card transactions","2021-12-17T17:14:14+00",88.96,"CAD",,,,"debit",,"SAFEWAY 8919",
"card transactions","2021-12-17T17:26:05+00",39.53,"CAD",,,,"debit",,"SAFEWAY LIQUOR 8981",
"card cashbacks","2021-12-18T15:24:59+00",,,0.00000887,"BTC",,"credit","60789.1755","@cashbacks",
"card cashbacks","2021-12-19T15:31:57+00",,,0.00001281,"BTC",,"credit","61010.9016","@cashbacks",
"card cashbacks","2021-12-19T15:40:49+00",,,0.00000187,"BTC",,"credit","60906.0733","@cashbacks",
"card cashbacks","2021-12-20T15:03:02+00",,,0.00002939,"BTC",,"credit","59843.1045","@cashbacks",
"card transactions","2021-12-20T21:47:04+00",15.09,"CAD",,,,"debit",,"AW  1589",
"card transactions","2021-12-21T16:11:51+00",4.6,"CAD",,,,"debit",,"BEAMERS COFFEE BAR LT",
"card transactions","2021-12-22T00:28:37+00",40.67,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card cashbacks","2021-12-22T14:42:52+00",,,0.00000475,"BTC",,"credit","62815.6652","@cashbacks",
"card cashbacks","2021-12-22T15:23:09+00",,,0.00000144,"BTC",,"credit","62909.8451","@cashbacks",
"card cashbacks","2021-12-23T15:42:35+00",,,0.00001286,"BTC",,"credit","62516.5549","@cashbacks",
"fiat funding","2021-12-23T16:50:18+00",,,500,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2021-12-31T19:41:11+00",500,"CAD",0.10683914156370726,"ETH","4679.9328","purchase",,,
"card transactions","2022-01-02T00:21:17+00",16.14,"CAD",,,,"debit",,"CORK N BOTTLE BEER WIN",
"card transactions","2022-01-02T00:25:53+00",28.88,"CAD",,,,"debit",,"ROCKET PIE INC",
"card cashbacks","2022-01-02T12:12:26+00",,,0.00000535,"BTC",,"credit","59562.6579","@cashbacks",
"card cashbacks","2022-01-02T14:26:29+00",,,0.00000959,"BTC",,"credit","59544.3185","@cashbacks",
"card transactions","2022-01-03T00:45:38+00",31.6,"CAD",,,,"debit",,"SKILOUISE FOOD AND BEV",
"card cashbacks","2022-01-03T12:55:47+00",,,0.00001043,"BTC",,"credit","59877.4923","@cashbacks",
"fiat funding","2022-01-07T08:03:22+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2022-01-07T14:54:54+00",500,"CAD",0.00928948,"BTC","53824.3027","purchase",,,
"purchase/sale","2022-01-07T14:55:10+00",500,"CAD",0.12098560809302202,"ETH","4132.7230","purchase",,,
"card transactions","2022-01-07T21:55:21+00",46.99,"CAD",,,,"debit",,"WHISTLER HAPPY PETS",
"card cashbacks","2022-01-09T15:04:43+00",,,0.00001767,"BTC",,"credit","52589.1801","@cashbacks",
"purchase/sale","2022-01-10T14:44:07+00",300,"CAD",0.00573798,"BTC","52283.1937","purchase",,,
"purchase/sale","2022-01-10T14:44:15+00",300,"CAD",0.07756734524220527,"ETH","3867.6069","purchase",,,
"card transactions","2022-01-11T14:36:13+00",8.3,"CAD",,,,"debit",,"TIM HORTONS 4779",
"card cashbacks","2022-01-12T15:34:42+00",,,0.000003,"BTC",,"credit","54593.7293","@cashbacks",
"purchase/sale","2022-01-21T02:18:46+00",300,"CAD",0.00594996,"BTC","50420.4918","purchase",,,
"purchase/sale","2022-01-21T02:18:59+00",300,"CAD",0.08100988347165046,"ETH","3703.2518","purchase",,,
"purchase/sale","2022-01-21T14:58:59+00",300,"CAD",0.00617161,"BTC","48609.6511","purchase",,,
"purchase/sale","2022-01-21T14:59:10+00",300,"CAD",0.08513990980104627,"ETH","3523.6119","purchase",,,
"fiat funding","2022-01-21T15:33:11+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"card transactions","2022-01-21T21:01:05+00",11.53,"CAD",,,,"debit",,"CDN TIRE STORE 00302",
"purchase/sale","2022-01-21T21:37:28+00",1000,"CAD",0.29411764705882354,"ETH","3400.0000","purchase",,,
"card transactions","2022-01-22T00:04:29+00",52.49,"CAD",,,,"debit",,"IKEA CALGARY",
"card cashbacks","2022-01-22T16:12:24+00",,,0.00002336,"BTC",,"credit","44367.8298","@cashbacks",
"purchase/sale","2022-01-22T16:55:48+00",250,"CAD",0.00559471,"BTC","44685.0681","purchase",,,
"purchase/sale","2022-01-22T16:55:59+00",250,"CAD",0.08016955516599913,"ETH","3118.3908","purchase",,,
"card transactions","2022-01-23T14:25:38+00",9.32,"CAD",,,,"debit",,"TIM HORTONS 6931",
"card transactions","2022-01-23T23:45:08+00",51.16,"CAD",,,,"debit",,"SAFEWAY 8919",
"purchase/sale","2022-01-24T15:37:19+00",300,"CAD",0.00684783,"BTC","43809.4536","purchase",,,
"purchase/sale","2022-01-24T15:37:31+00",300,"CAD",0.10320254521005347,"ETH","2906.9051","purchase",,,
"card cashbacks","2022-01-24T16:32:33+00",,,0.00000422,"BTC",,"credit","43565.6873","@cashbacks",
"card transactions","2022-01-25T01:17:58+00",47.44,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card transactions","2022-01-25T14:44:48+00",9.03,"CAD",,,,"debit",,"AW  1589",
"card cashbacks","2022-01-25T14:56:23+00",,,0.00000494,"BTC",,"credit","46073.6060","@cashbacks",
"card cashbacks","2022-01-26T14:58:44+00",,,0.00002104,"BTC",,"credit","48088.0658","@cashbacks",
"card cashbacks","2022-01-26T15:46:33+00",,,0.00001954,"BTC",,"credit","48018.7133","@cashbacks",
"card transactions","2022-01-27T01:26:52+00",250,"CAD",,,,"debit",,"ESSO 7ELEVEN 37797",
"card cashbacks","2022-01-27T14:43:15+00",,,0.00000381,"BTC",,"credit","46809.7257","@cashbacks",
"card transactions","2022-01-28T19:33:34+00",57.48,"CAD",,,,"debit",,"THRIFTYS 9399",
"card transactions","2022-01-29T14:49:19+00",,,144.13,"CAD",,"credit",,"transaction reversal",
"card cashbacks","2022-01-29T15:02:23+00",,,0.00004365,"BTC",,"credit","47946.8967","@cashbacks",
"card cashbacks","2022-01-29T15:44:44+00",,,0.00002369,"BTC",,"credit","47982.4914","@cashbacks",
"card transactions","2022-02-01T01:00:03+00",59.89,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card cashbacks","2022-02-02T15:01:23+00",,,0.0000247,"BTC",,"credit","47952.8220","@cashbacks",
"card transactions","2022-02-02T20:17:02+00",45.17,"CAD",,,,"debit",,"SAFEWAY 8919",
"card transactions","2022-02-03T21:40:49+00",10.86,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card transactions","2022-02-04T20:18:27+00",89.48,"CAD",,,,"debit",,"CDN TIRE STORE 00469",
"card transactions","2022-02-04T20:39:48+00",67.18,"CAD",,,,"debit",,"VALLEY BUILDING MATERI",
"card cashbacks","2022-02-05T15:16:51+00",,,0.00001678,"BTC",,"credit","53206.0797","@cashbacks",
"card cashbacks","2022-02-05T16:16:45+00",,,0.00000404,"BTC",,"credit","53103.9587","@cashbacks",
"card cashbacks","2022-02-05T16:23:14+00",,,0.00002497,"BTC",,"credit","53198.3297","@cashbacks",
"card transactions","2022-02-07T20:27:52+00",55.63,"CAD",,,,"debit",,"CDN TIRE STORE 00469",
"card transactions","2022-02-07T20:41:43+00",29.45,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card cashbacks","2022-02-08T15:32:42+00",,,0.00003221,"BTC",,"credit","54944.3335","@cashbacks",
"card transactions","2022-02-09T03:17:37+00",57.72,"CAD",,,,"debit",,"SAFEWAY 8919",
"card cashbacks","2022-02-09T14:42:44+00",,,0.00001961,"BTC",,"credit","56092.4818","@cashbacks",
"card cashbacks","2022-02-09T15:22:58+00",,,0.00001043,"BTC",,"credit","55818.1666","@cashbacks",
"card cashbacks","2022-02-11T15:56:29+00",,,0.00002056,"BTC",,"credit","55517.2628","@cashbacks",
"card transactions","2022-02-11T19:24:46+00",250,"CAD",,,,"debit",,"PETROCANADA",
"card transactions","2022-02-11T19:38:38+00",11.43,"CAD",,,,"debit",,"MCDONALDS 29010",
"card transactions","2022-02-11T20:14:54+00",82.2,"CAD",,,,"debit",,"SAFEWAY 8919",
"card transactions","2022-02-13T14:27:58+00",,,130.22,"CAD",,"credit",,"transaction reversal",
"card cashbacks","2022-02-13T14:52:39+00",,,0.000044,"BTC",,"credit","53826.4219","@cashbacks",
"card cashbacks","2022-02-13T14:57:18+00",,,0.00000417,"BTC",,"credit","54076.3066","@cashbacks",
"card cashbacks","2022-02-14T14:51:58+00",,,0.00002988,"BTC",,"credit","54407.8886","@cashbacks",
"card transactions","2022-02-18T02:54:01+00",79.21,"CAD",,,,"debit",,"SAFEWAY 8919",
"card cashbacks","2022-02-20T14:33:38+00",,,0.00003218,"BTC",,"credit","48663.3495","@cashbacks",
"card transactions","2022-02-27T21:40:37+00",21.55,"CAD",,,,"debit",,"SAVE ON FOODS",
"card cashbacks","2022-03-01T16:02:37+00",,,0.00000771,"BTC",,"credit","55228.3711","@cashbacks",
"fiat funding","2022-03-03T19:34:47+00",,,1000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2022-03-06T15:00:33+00",250,"CAD",0.0050039,"BTC","49960.9657","purchase",,,
"purchase/sale","2022-03-06T15:00:47+00",250,"CAD",0.07371308087208978,"ETH","3391.5283","purchase",,,
"card transactions","2022-03-07T01:46:56+00",40.94,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card transactions","2022-03-07T14:36:10+00",3.72,"CAD",,,,"debit",,"22176 MACS CONV STORE",
"card cashbacks","2022-03-08T16:46:12+00",,,0.0000746,"BTC",,"credit","49310.4175","@cashbacks",
"card cashbacks","2022-03-08T17:21:37+00",,,0.00001613,"BTC",,"credit","50179.3231","@cashbacks",
"card transactions","2022-03-09T02:39:58+00",65.38,"CAD",,,,"debit",,"SAFEWAY 8919",
"card transactions","2022-03-10T23:17:54+00",30.59,"CAD",,,,"debit",,"SAFEWAY LIQUOR 8981",
"card transactions","2022-03-11T00:00:46+00",13.38,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card transactions","2022-03-11T03:55:00+00",74.03,"CAD",,,,"debit",,"WILD ORCHID BISTRO",
"card transactions","2022-03-11T06:23:28+00",17.41,"CAD",,,,"debit",,"MCDONALDS 29010",
"card cashbacks","2022-03-11T22:42:42+00",,,0.000026,"BTC",,"credit","49721.2600","@cashbacks",
"card cashbacks","2022-03-11T23:43:33+00",,,0.0000295,"BTC",,"credit","49619.0715","@cashbacks",
"card transactions","2022-03-12T01:24:26+00",75.58,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card cashbacks","2022-03-12T15:34:21+00",,,0.00001217,"BTC",,"credit","49691.9876","@cashbacks",
"card cashbacks","2022-03-12T15:54:45+00",,,0.00000689,"BTC",,"credit","49904.8842","@cashbacks",
"card cashbacks","2022-03-12T16:35:42+00",,,0.00000529,"BTC",,"credit","49929.5682","@cashbacks",
"card transactions","2022-03-13T02:23:29+00",33.25,"CAD",,,,"debit",,"CDN TIRE STORE 00469",
"card cashbacks","2022-03-13T15:24:58+00",,,0.00003004,"BTC",,"credit","49752.6192","@cashbacks",
"card cashbacks","2022-03-15T14:15:19+00",,,0.00001321,"BTC",,"credit","49771.6566","@cashbacks",
"card transactions","2022-03-16T00:35:54+00",48.78,"CAD",,,,"debit",,"CDN TIRE STORE 00469",
"card cashbacks","2022-03-17T14:14:28+00",,,0.0009259,"BTC",,"credit","52101.5447","@cashbacks",
"card transactions","2022-03-21T00:29:00+00",11.85,"CAD",,,,"debit",,"AW 1534",
"card cashbacks","2022-03-23T15:24:10+00",,,0.00000439,"BTC",,"credit","53300.2286","@cashbacks",
"card transactions","2022-04-01T19:04:57+00",19.6,"CAD",,,,"debit",,"SAFEWAY 8919",
"card transactions","2022-04-01T19:26:14+00",10.68,"CAD",,,,"debit",,"JK BAKERY CAFE",
"card transactions","2022-04-02T00:18:01+00",23.74,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card cashbacks","2022-04-02T12:01:26+00",,,0.00000362,"BTC",,"credit","58282.5973","@cashbacks",
"card cashbacks","2022-04-03T15:31:19+00",,,0.00000806,"BTC",,"credit","58214.5438","@cashbacks",
"card cashbacks","2022-04-04T14:45:03+00",,,0.00000675,"BTC",,"credit","57406.9742","@cashbacks",
"fiat funding","2022-04-04T16:03:35+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2022-04-04T16:46:30+00",500,"CAD",0.00865441,"BTC","57774.0074","purchase",,,
"purchase/sale","2022-04-04T16:46:44+00",500,"CAD",0.11452882001975984,"ETH","4365.7134","purchase",,,
"purchase/sale","2022-04-05T23:38:20+00",500,"CAD",0.00863152,"BTC","57927.2161","purchase",,,
"purchase/sale","2022-04-05T23:38:54+00",500,"CAD",0.11476568890946766,"ETH","4356.7028","purchase",,,
"purchase/sale","2022-04-06T20:57:36+00",500,"CAD",0.00896733,"BTC","55757.9272","purchase",,,
"purchase/sale","2022-04-06T20:57:58+00",500,"CAD",0.12139795257545698,"ETH","4118.6856","purchase",,,
"card transactions","2022-04-07T02:38:25+00",5.98,"CAD",,,,"debit",,"SAVE ON FOODS 6635",
"card cashbacks","2022-04-08T16:02:11+00",,,0.00000215,"BTC",,"credit","54939.2099","@cashbacks",
"card transactions","2022-04-10T22:12:42+00",14.89,"CAD",,,,"debit",,"MCDONALDS 29010",
"card cashbacks","2022-04-11T15:24:50+00",,,0.00000571,"BTC",,"credit","51577.4992","@cashbacks",
"card transactions","2022-04-12T17:52:13+00",13.51,"CAD",,,,"debit",,"ROCKY MOUNTAN BAGEL CO",
"card cashbacks","2022-04-13T14:12:37+00",,,0.00000519,"BTC",,"credit","51420.6877","@cashbacks",
"card transactions","2022-04-14T00:44:53+00",45.64,"CAD",,,,"debit",,"SAFEWAY 8919",
"card transactions","2022-04-14T02:46:49+00",31.28,"CAD",,,,"debit",,"SHOPPERS DRUG MART 2332",
"card cashbacks","2022-04-14T11:50:48+00",,,0.00001204,"BTC",,"credit","51349.3815","@cashbacks",
"card cashbacks","2022-04-16T15:21:25+00",,,0.00001777,"BTC",,"credit","50785.2706","@cashbacks",
"fiat funding","2022-04-25T03:08:14+00",,,3000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2022-04-25T03:27:30+00",200,"CAD",0.00395746,"BTC","50537.4522","purchase",,,
"purchase/sale","2022-04-25T03:27:50+00",150,"CAD",0.040448390294336126,"ETH","3708.4294","purchase",,,
"purchase/sale","2022-04-26T21:37:02+00",200,"CAD",0.00402552,"BTC","49682.9473","purchase",,,
"purchase/sale","2022-04-26T21:37:14+00",200,"CAD",0.05431433806288578,"ETH","3682.2689","purchase",,,
"purchase/sale","2022-04-29T14:18:55+00",250,"CAD",0.00496467,"BTC","50355.7259","purchase",,,
"purchase/sale","2022-04-29T14:19:22+00",200,"CAD",0.054032294783291586,"ETH","3701.4900","purchase",,,
"purchase/sale","2022-04-30T15:15:30+00",100,"CAD",0.00200442,"BTC","49889.6881","purchase",,,
"purchase/sale","2022-04-30T15:15:47+00",100,"CAD",0.02746118967176127,"ETH","3641.5028","purchase",,,
"card transactions","2022-05-02T15:58:23+00",104.69,"CAD",,,,"debit",,"TIMOTHY D TOOHEY PROF",
"purchase/sale","2022-05-03T19:18:13+00",100,"CAD",0.00203917,"BTC","49039.3405","purchase",,,
"purchase/sale","2022-05-03T19:18:26+00",100,"CAD",0.027605587864441537,"ETH","3622.4550","purchase",,,
"purchase/sale","2022-05-05T17:46:38+00",250,"CAD",0.0052197,"BTC","47895.4711","purchase",,,
"purchase/sale","2022-05-05T17:46:56+00",250,"CAD",0.06972979825737026,"ETH","3585.2678","purchase",,,
"purchase/sale","2022-05-06T05:21:24+00",100,"CAD",0.00211305,"BTC","47324.8700","purchase",,,
"purchase/sale","2022-05-06T05:21:38+00",100,"CAD",0.02796483328661934,"ETH","3575.9198","purchase",,,
"card cashbacks","2022-05-06T14:31:04+00",,,0.00004491,"BTC",,"credit","46097.0495","@cashbacks",
"purchase/sale","2022-05-07T21:54:33+00",100,"CAD",0.00218381,"BTC","45791.4346","purchase",,,
"purchase/sale","2022-05-07T21:54:45+00",100,"CAD",0.029046359522354136,"ETH","3442.7722","purchase",,,
"purchase/sale","2022-05-08T03:35:23+00",150,"CAD",0.00335215,"BTC","44747.3158","purchase",,,
"purchase/sale","2022-05-08T03:35:34+00",150,"CAD",0.00335282,"BTC","44738.3887","purchase",,,
"fiat funding","2022-05-08T22:28:02+00",,,1000,"CAD",,"credit",,"mrmyamashita@gmail.com",
"purchase/sale","2022-05-09T15:06:21+00",200,"CAD",0.0046826,"BTC","42711.2758","purchase",,,
"purchase/sale","2022-05-09T15:06:33+00",200,"CAD",0.06351736453127756,"ETH","3148.7453","purchase",,,
"purchase/sale","2022-05-09T23:51:14+00",100,"CAD",0.00249868,"BTC","40021.1092","purchase",,,
